S.No,District,Agewise Registered and Employed Persons,,,,,,,,,,,
,,18-30,,31-40,,41-50,,51-60,,61-80,,Greater than 80,
,,Registered Persons since Beginning ,Employed Persons,Registered Persons since Beginning ,Employed Persons,Registered Persons since Beginning ,Employed Persons,Registered Persons since Beginning ,Employed Persons,Registered Persons since Beginning ,Employed Persons,Registered Persons since Beginning ,Employed Persons
1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,24 PARGANAS (NORTH),68170,12262,571759,80227,520316,92109,414795,72080,295682,39057,29108,1704
2,24 PARGANAS SOUTH,177934,45780,941364,189951,802379,181399,534245,117542,328021,57879,29446,2880
3,ALIPURDUAR,33225,12025,258312,89638,205009,81181,164275,66801,129612,43238,15772,2714
4,BANKURA,58851,14795,594434,152057,467352,125654,347234,91167,255824,44176,23052,1563
5,BIRBHUM,95803,23665,580673,138882,507065,141482,383872,110873,271873,61421,22416,2550
6,COOCHBEHAR,80833,19786,451861,115132,417135,127178,336127,101702,257724,58905,31747,3078
7,Darjeeling Gorkha Hill Council (DGHC),15724,5304,88561,32369,74937,35569,47453,22475,41241,15955,5078,818
8,DINAJPUR DAKSHIN,49527,9323,295589,39342,267894,40139,189671,25558,106492,10126,6378,317
9,DINAJPUR UTTAR,64950,13027,383601,57003,360436,63627,264418,46664,181602,25140,18623,1473
10,HOOGHLY,59975,22222,447561,165317,464817,203247,355216,157345,252029,90089,22984,3568
11,HOWRAH,31752,6974,160544,30946,198153,44262,141714,32019,92550,16799,6820,571
12,JALPAIGURI,46787,19759,354414,112386,283145,102888,225349,82523,176017,50612,20142,2416
13,JHARGRAM,18269,4785,223676,52246,197707,55444,136010,37954,103963,18247,12752,804
14,KALIMPONG,9016,4252,39629,17102,35398,18431,24091,13580,22188,11387,3696,1074
15,MALDAH,135238,20802,588662,79934,533445,77400,345185,48753,216222,22429,16096,861
16,MURSHIDABAD,136394,28243,791021,107007,787580,107356,618359,90331,473288,63124,52225,4822
17,NADIA,28927,3668,588201,74970,527772,81093,428673,68220,339628,45004,43961,2772
18,PASCHIM BARDHAMAN,16858,4305,149790,31443,111251,25428,73553,16812,51012,8796,3857,273
19,PASCHIM MEDINIPUR,68722,15869,633317,148808,557487,151405,398321,108895,245328,50863,18489,1817
20,PURBA BARDHAMAN,72579,20303,742567,202811,657024,217775,484399,165777,332903,92941,29057,3687
21,PURBA MEDINIPUR,79185,22223,661493,179419,609734,200476,443504,142131,339032,79192,54436,7607
22,PURULIA,45297,8074,506531,76039,429148,77293,297391,52363,234859,25486,23221,927
23,SILIGURI MAHAKUMA PARISAD,9697,1484,73347,9403,66177,9732,46983,6211,32385,3103,2690,143
,Total,1403713,338930,10126907,2182432,9081361,2260568,6700838,1677776,4779475,933969,492046,48439
